Gene description	Synonyms
1,4-alpha-glucan branching enzyme 1	GBE-1; GBE1
1-acylglycerol-3-phosphate O-acyltransferase 1	1-acylglycerol-3-phosphate O-acyltransferase-1; AGPAT-1; AGPAT1
1-acylglycerol-3-phosphate O-acyltransferase 2	1-acylglycerol-3-phosphate O-acyltransferase-2; AGPAT-2; AGPAT2
1-acylglycerol-3-phosphate O-acyltransferase 3	1-acylglycerol-3-phosphate O-acyltransferase-3; AGPAT-3; AGPAT3
1-acylglycerol-3-phosphate O-acyltransferase 4	1-acylglycerol-3-phosphate O-acyltransferase-4; AGPAT-4; AGPAT4
1-acylglycerol-3-phosphate O-acyltransferase 5	1-acylglycerol-3-phosphate O-acyltransferase-5; AGPAT-5; AGPAT5
1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACCS
15-hydroxyprostaglandin dehydrogenase	HPGD
2',3'-cyclic nucleotide 3' phosphodiesterase	CNP
2'-5'-oligoadenylate synthetase 1	2'-5'-oligoadenylate synthetase-1; OAS-1; OAS1
2'-5'-oligoadenylate synthetase 2	2'-5'-oligoadenylate synthetase-2; OAS-2; OAS2
2'-5'-oligoadenylate synthetase 3	2'-5'-oligoadenylate synthetase-3; OAS-3; OAS3
2'-5'-oligoadenylate synthetase like	OASL
2'-deoxynucleoside 5'-phosphate N-hydrolase 1	DNPH-1; DNPH1
2,4-dienoyl-CoA reductase 1	2,4-dienoyl-CoA reductase-1; DECR-1; DECR1
2,4-dienoyl-CoA reductase 2	2,4-dienoyl-CoA reductase-2; DECR-2; DECR2
2-aminoethanethiol dioxygenase	ADO
2-hydroxyacyl-CoA lyase 1	2-hydroxyacyl-CoA lyase-1; HACL-1; HACL1
2-oxoglutarate and iron dependent oxygenase domain containing 1	OGFOD-1; OGFOD1
2-oxoglutarate and iron dependent oxygenase domain containing 2	OGFOD-2; OGFOD2
2-oxoglutarate and iron dependent oxygenase domain containing 3	OGFOD-3; OGFOD3
2-phosphoxylose phosphatase 1	2-phosphoxylose phosphatase-1; PXYLP-1; PXYLP1
24-dehydrocholesterol reductase	DHCR-24; DHCR24
3'(2'), 5'-bisphosphate nucleotidase 1	BPNT-1; BPNT1
3'(2'), 5'-bisphosphate nucleotidase 2	BPNT-2; BPNT2
3'-phosphoadenosine 5'-phosphosulfate synthase 1	PAPSS-1; PAPSS1
3'-phosphoadenosine 5'-phosphosulfate synthase 2	PAPSS-2; PAPSS2
3-hydroxy-3-methylglutaryl-CoA lyase	HMGCL
3-hydroxy-3-methylglutaryl-CoA reductase	HMGCR
3-hydroxy-3-methylglutaryl-CoA synthase 1	3-hydroxy-3-methylglutaryl-CoA synthase-1; HMGCS-1; HMGCS1
3-hydroxy-3-methylglutaryl-CoA synthase 2	3-hydroxy-3-methylglutaryl-CoA synthase-2; HMGCS-2; HMGCS2
3-hydroxyacyl-CoA dehydratase 1	3-hydroxyacyl-CoA dehydratase-1; HACD-1; HACD1
3-hydroxyacyl-CoA dehydratase 2	3-hydroxyacyl-CoA dehydratase-2; HACD-2; HACD2
3-hydroxyacyl-CoA dehydratase 3	3-hydroxyacyl-CoA dehydratase-3; HACD-3; HACD3
3-hydroxyacyl-CoA dehydratase 4	3-hydroxyacyl-CoA dehydratase-4; HACD-4; HACD4
3-hydroxyanthranilate 3,4-dioxygenase	HAAO
3-hydroxybutyrate dehydrogenase 1	3-hydroxybutyrate dehydrogenase-1; BDH-1; BDH1
3-hydroxybutyrate dehydrogenase 2	3-hydroxybutyrate dehydrogenase-2; BDH-2; BDH2
3-hydroxyisobutyrate dehydrogenase	HIBADH
3-hydroxyisobutyryl-CoA hydrolase	HIBCH
3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	HMGCLL-1; HMGCLL1
3-ketodihydrosphingosine reductase	KDSR
3-oxoacid CoA-transferase 1	3-oxoacid CoA-transferase-1; OXCT-1; OXCT1
3-oxoacyl-ACP synthase, mitochondrial	OXSM
3-phosphoinositide dependent protein kinase 1	PDPK-1; PDPK1
4-aminobutyrate aminotransferase	ABAT
4-hydroxy-2-oxoglutarate aldolase 1	4-hydroxy-2-oxoglutarate aldolase-1; HOGA-1; HOGA1
4-hydroxyphenylpyruvate dioxygenase	HPD
4-hydroxyphenylpyruvate dioxygenase like	HPDL
5', 3'-nucleotidase, cytosolic	NT5C
5',3'-nucleotidase, mitochondrial	NT5M
5'-3' exoribonuclease 1	5'-3' exoribonuclease-1; XRN-1; XRN1
5'-3' exoribonuclease 2	5'-3' exoribonuclease-2; XRN-2; XRN2
5'-aminolevulinate synthase 1	5'-aminolevulinate synthase-1; ALAS-1; ALAS1
5'-aminolevulinate synthase 2	5'-aminolevulinate synthase-2; ALAS-2; ALAS2
5'-nucleotidase domain containing 1	NT5DC1
5'-nucleotidase domain containing 2	NT5DC2
5'-nucleotidase domain containing 3	NT5DC3
5'-nucleotidase ecto	NT5E
5'-nucleotidase, cytosolic IA	NT5C1A
5'-nucleotidase, cytosolic II	NT5C2
5'-nucleotidase, cytosolic IIIA	NT5C3A
5'-nucleotidase, cytosolic IIIB	NT5C3B
5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	ATIC
5-azacytidine induced 2	5-azacytidine induced-2; AZI-2; AZI2
5-hydroxymethylcytosine binding, ES cell specific	HMCES
5-hydroxytryptamine receptor 1A	HTR1A
5-hydroxytryptamine receptor 1B	HTR1B
5-hydroxytryptamine receptor 1D	HTR1D
5-hydroxytryptamine receptor 1E	HTR1E
5-hydroxytryptamine receptor 1F	HTR1F
5-hydroxytryptamine receptor 2A	HTR2A
5-hydroxytryptamine receptor 2B	HTR2B
5-hydroxytryptamine receptor 2C	HTR2C
5-hydroxytryptamine receptor 3A	HTR3A
5-hydroxytryptamine receptor 3B	HTR3B
5-hydroxytryptamine receptor 3C	HTR3C
5-hydroxytryptamine receptor 3D	HTR3D
5-hydroxytryptamine receptor 3E	HTR3E
5-hydroxytryptamine receptor 4	5-hydroxytryptamine receptor-4; HTR-4; HTR4
5-hydroxytryptamine receptor 5A	HTR5A
5-hydroxytryptamine receptor 6	5-hydroxytryptamine receptor-6; HTR-6; HTR6
5-hydroxytryptamine receptor 7	5-hydroxytryptamine receptor-7; HTR-7; HTR7
5-methyltetrahydrofolate-homocysteine methyltransferase	MTR
5-methyltetrahydrofolate-homocysteine methyltransferase reductase	MTRR
5-oxoprolinase, ATP-hydrolysing	OPLAH
5-phosphohydroxy-L-lysine phospho-lyase	PHYKPL
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase-1; PFKFB-1; PFKFB1
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase-2; PFKFB-2; PFKFB2
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase-3; PFKFB-3; PFKFB3
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase-4; PFKFB-4; PFKFB4
6-phosphogluconolactonase	PGLS
6-pyruvoyltetrahydropterin synthase	PTS
7-dehydrocholesterol reductase	DHCR-7; DHCR7
8-oxoguanine DNA glycosylase	OGG-1; OGG1
A-kinase anchor inhibitor 1	AKAIN-1; AKAIN1
A-kinase anchoring protein 1	AKAP-1; AKAP1
A-kinase anchoring protein 10	AKAP-10; AKAP10
A-kinase anchoring protein 11	AKAP-11; AKAP11
A-kinase anchoring protein 12	AKAP-12; AKAP12
A-kinase anchoring protein 13	AKAP-13; AKAP13
A-kinase anchoring protein 14	AKAP-14; AKAP14
A-kinase anchoring protein 17A	AKAP17A
A-kinase anchoring protein 3	AKAP-3; AKAP3
A-kinase anchoring protein 4	AKAP-4; AKAP4
A-kinase anchoring protein 5	AKAP-5; AKAP5
A-kinase anchoring protein 6	AKAP-6; AKAP6
A-kinase anchoring protein 7	AKAP-7; AKAP7
A-kinase anchoring protein 8	AKAP-8; AKAP8
A-kinase anchoring protein 8 like	AKAP8L
A-kinase anchoring protein 9	AKAP-9; AKAP9
A-kinase interacting protein 1	AKIP-1; AKIP1
A-Raf proto-oncogene, serine/threonine kinase	ARAF
AAR2 splicing factor	AAR-2; AAR2
AarF domain containing kinase 1	ADCK-1; ADCK1
AarF domain containing kinase 2	ADCK-2; ADCK2
AarF domain containing kinase 5	ADCK-5; ADCK5
Abelson helper integration site 1	AHI-1; AHI1
Abhydrolase domain containing 1	ABHD-1; ABHD1
Abhydrolase domain containing 10, depalmitoylase	ABHD-10; ABHD10
Abhydrolase domain containing 11	ABHD-11; ABHD11
Abhydrolase domain containing 12, lysophospholipase	ABHD-12; ABHD12
Abhydrolase domain containing 12B	ABHD12B
Abhydrolase domain containing 14B	ABHD14B
Abhydrolase domain containing 15	ABHD-15; ABHD15
Abhydrolase domain containing 16A, phospholipase	ABHD16A
Abhydrolase domain containing 17A, depalmitoylase	ABHD17A
Abhydrolase domain containing 17B, depalmitoylase	ABHD17B
Abhydrolase domain containing 17C, depalmitoylase	ABHD17C
Abhydrolase domain containing 2, acylglycerol lipase	ABHD-2; ABHD2
Abhydrolase domain containing 4, N-acyl phospholipase B	ABHD-4; ABHD4
Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	ABHD-5; ABHD5
Abhydrolase domain containing 6, acylglycerol lipase	ABHD-6; ABHD6
Abhydrolase domain containing 8	ABHD-8; ABHD8
ABI family member 3	ABI-3; ABI3
ABI family member 3 binding protein	ABI3BP
Abl interactor 1	ABI-1; ABI1; Abl interactor-1
Abl interactor 2	ABI-2; ABI2; Abl interactor-2
ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL-1; ABL1
ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL-2; ABL2
ABR activator of RhoGEF and GTPase	ABR
ABRA C-terminal like	ABRACL
Abraxas 1, BRCA1 A complex subunit	ABRAXAS-1; ABRAXAS1
Abraxas 2, BRISC complex subunit	ABRAXAS-2; ABRAXAS2
Absent in melanoma 2	AIM-2; AIM2
ACD shelterin complex subunit and telomerase recruitment factor	ACD
Acetoacetyl-CoA synthetase	AACS
Acetyl-CoA acetyltransferase 1	ACAT-1; ACAT1; Acetyl-CoA acetyltransferase-1
Acetyl-CoA acetyltransferase 2	ACAT-2; ACAT2; Acetyl-CoA acetyltransferase-2
Acetyl-CoA acyltransferase 1	ACAA-1; ACAA1; Acetyl-CoA acyltransferase-1
Acetyl-CoA acyltransferase 2	ACAA-2; ACAA2; Acetyl-CoA acyltransferase-2
Acetyl-CoA carboxylase alpha	ACACA
Acetyl-CoA carboxylase beta	ACACB
Acetylcholinesterase (Cartwright blood group)	ACHE
Acetylserotonin O-methyltransferase	ASMT
Acetylserotonin O-methyltransferase like	ASMTL
Achaete-scute family bHLH transcription factor 1	ASCL-1; ASCL1
Achaete-scute family bHLH transcription factor 2	ASCL-2; ASCL2
Achaete-scute family bHLH transcription factor 3	ASCL-3; ASCL3
Achaete-scute family bHLH transcription factor 4	ASCL-4; ASCL4
Acid phosphatase 1	Acid phosphatase-1; ACP-1; ACP1
Acid phosphatase 2, lysosomal	ACP-2; ACP2
Acid phosphatase 3	Acid phosphatase-3; ACP-3; ACP3
Acid phosphatase 4	Acid phosphatase-4; ACP-4; ACP4
Acid phosphatase 5, tartrate resistant	ACP-5; ACP5
Acid phosphatase 6, lysophosphatidic	ACP-6; ACP6
Acid sensing ion channel subunit 1	ASIC-1; ASIC1
Acid sensing ion channel subunit 2	ASIC-2; ASIC2
Acid sensing ion channel subunit 3	ASIC-3; ASIC3
Acid sensing ion channel subunit family member 4	ASIC-4; ASIC4
Acid sensing ion channel subunit family member 5	ASIC-5; ASIC5
Acidic nuclear phosphoprotein 32 family member A	ANP32A
Acidic nuclear phosphoprotein 32 family member B	ANP32B
Acidic nuclear phosphoprotein 32 family member E	ANP32E
Acidic residue methyltransferase 1	ARMT-1; ARMT1
Acireductone dioxygenase 1	Acireductone dioxygenase-1; ADI-1; ADI1
Aconitase 1	ACO-1; ACO1; Aconitase-1
Aconitase 2	ACO-2; ACO2; Aconitase-2
Aconitate decarboxylase 1	ACOD-1; ACOD1; Aconitate decarboxylase-1
Acrosin	ACR
